s,sr,t,tr,sl,gd,nsl,nsld,un
20103.0,1466.0,102.00000000000091,102.0,15.277777777777777,2,22.22222222222222,20283,1
20103.003209924,1466.0,102.00000000000091,101.8,15.277777777777777,2,22.22222222222222,20283,1
20103.01550494916,1465.98,102.00000000000091,101.6,15.277777777777777,2,22.22222222222222,20283,1
20103.04132549473,1465.96,102.00000000000091,101.4,15.277777777777777,2,22.22222222222222,20283,1
20103.08362846373,1465.92,102.00000000000091,101.2,15.277777777777777,2,22.22222222222222,20283,1
20103.147048335442,1465.85,102.00000000000091,101.0,15.277777777777777,2,22.22222222222222,20283,1
20103.237336629776,1465.76,102.00000000000091,100.8,15.277777777777777,2,22.22222222222222,20283,1
20103.358321470547,1465.64,102.00000000000091,100.6,15.277777777777777,2,22.22222222222222,20283,1
20103.512548471645,1465.49,102.00000000000091,100.4,15.277777777777777,2,22.22222222222222,20283,1
20103.7017079931,1465.3,102.00000000000091,100.2,15.277777777777777,2,22.22222222222222,20283,1
20103.926919983136,1465.07,102.00000000000091,100.0,15.277777777777777,2,22.22222222222222,20283,1
20104.1889238786,1464.81,102.00000000000091,99.8,15.277777777777777,2,22.22222222222222,20283,1
20104.488205210295,1464.51,102.00000000000091,99.6,15.277777777777777,2,22.22222222222222,20283,1
20104.825080010593,1464.17,102.00000000000091,99.4,15.277777777777777,2,22.22222222222222,20283,1
20105.19975108824,1463.8,102.00000000000091,99.2,15.277777777777777,2,22.22222222222222,20283,1
20105.61234554726,1463.39,102.00000000000091,99.0,15.277777777777777,2,22.22222222222222,20283,1
20106.062939801344,1462.94,102.00000000000091,98.8,15.277777777777777,2,22.22222222222222,20283,1
20106.551576251535,1462.45,102.00000000000091,98.6,15.277777777777777,2,22.22222222222222,20283,1
20107.07827440584,1461.92,102.00000000000091,98.4,15.277777777777777,2,22.22222222222222,20283,1
20107.643038293307,1461.36,102.00000000000091,98.2,15.277777777777777,2,22.22222222222222,20283,1
20108.2458614076,1460.75,102.00000000000091,98.0,15.277777777777777,2,22.22222222222222,20283,1
20108.88673000354,1460.11,102.00000000000091,97.8,15.277777777777777,2,22.22222222222222,20283,1
20109.565625295556,1459.43,102.00000000000091,97.6,15.277777777777777,2,22.22222222222222,20283,1
20110.282524924034,1458.72,102.00000000000091,97.4,15.277777777777777,2,22.22222222222222,20283,1
20111.03740393365,1457.96,102.00000000000091,97.2,15.277777777777777,2,22.22222222222222,20283,1
20111.830235426285,1457.17,102.00000000000091,97.0,15.277777777777777,2,22.22222222222222,20283,1
20112.66099099704,1456.34,102.00000000000091,96.8,15.277777777777777,2,22.22222222222222,20283,1
20113.529641025634,1455.47,102.00000000000091,96.6,15.277777777777777,2,22.22222222222222,20283,1
20114.436154871422,1454.56,102.00000000000091,96.4,15.277777777777777,2,22.22222222222222,20283,1
20115.380501004154,1453.62,102.00000000000091,96.2,15.277777777777777,2,22.22222222222222,20283,1
20116.3626470919,1452.64,102.00000000000091,96.0,15.277777777777777,2,22.22222222222222,20283,1
20117.382560060454,1451.62,102.00000000000091,95.8,15.277777777777777,2,22.22222222222222,20283,1
20118.440206133713,1450.56,102.00000000000091,95.6,15.277777777777777,2,22.22222222222222,20283,1
20119.535550861394,1449.46,102.00000000000091,95.4,15.277777777777777,2,22.22222222222222,20283,1
20120.66855913833,1448.33,102.00000000000091,95.2,15.277777777777777,2,22.22222222222222,20283,1
20121.83919521815,1447.16,102.00000000000091,95.0,15.277777777777777,2,22.22222222222222,20283,1
20123.047422723237,1445.95,102.00000000000091,94.8,15.277777777777777,2,22.22222222222222,20283,1
20124.293204652222,1444.71,102.00000000000091,94.6,15.277777777777777,2,22.22222222222222,20283,1
20125.576503385822,1443.42,102.00000000000091,94.4,15.277777777777777,2,22.22222222222222,20283,1
20126.897280691628,1442.1,102.00000000000091,94.2,15.277777777777777,2,22.22222222222222,20283,1
20128.25549772816,1440.74,102.00000000000091,94.0,15.277777777777777,2,22.22222222222222,20283,1
20129.65111504849,1439.35,102.00000000000091,93.8,15.277777777777777,2,22.22222222222222,20283,1
20131.08409260355,1437.92,102.00000000000091,93.6,15.277777777777777,2,22.22222222222222,20283,1
20132.55438974526,1436.45,102.00000000000091,93.4,15.277777777777777,2,22.22222222222222,20283,1
20134.061965229554,1434.94,102.00000000000091,93.2,15.277777777777777,2,22.22222222222222,20283,1
20135.606777219342,1433.39,102.00000000000091,93.0,15.277777777777777,2,22.22222222222222,20283,1
20137.18878328743,1431.81,102.00000000000091,92.8,15.277777777777777,2,22.22222222222222,20283,1
