s,sr,t,tr,sl,gd,nsl,nsld,un
20103.0,1466.0,124.60000000000123,124.6,15.277777777777777,2,22.22222222222222,20283,1
20103.003209924,1466.0,124.60000000000123,124.4,15.277777777777777,2,22.22222222222222,20283,1
20103.01550494916,1465.98,124.60000000000123,124.2,15.277777777777777,2,22.22222222222222,20283,1
20103.04132549473,1465.96,124.60000000000123,124.0,15.277777777777777,2,22.22222222222222,20283,1
20103.08362846373,1465.92,124.60000000000123,123.8,15.277777777777777,2,22.22222222222222,20283,1
20103.147048335442,1465.85,124.60000000000123,123.6,15.277777777777777,2,22.22222222222222,20283,1
20103.237336629776,1465.76,124.60000000000123,123.4,15.277777777777777,2,22.22222222222222,20283,1
20103.358321470547,1465.64,124.60000000000123,123.2,15.277777777777777,2,22.22222222222222,20283,1
20103.512548471645,1465.49,124.60000000000123,123.0,15.277777777777777,2,22.22222222222222,20283,1
20103.7017079931,1465.3,124.60000000000123,122.8,15.277777777777777,2,22.22222222222222,20283,1
20103.926919983136,1465.07,124.60000000000123,122.6,15.277777777777777,2,22.22222222222222,20283,1
20104.1889238786,1464.81,124.60000000000123,122.4,15.277777777777777,2,22.22222222222222,20283,1
20104.488205210295,1464.51,124.60000000000123,122.2,15.277777777777777,2,22.22222222222222,20283,1
20104.825080010593,1464.17,124.60000000000123,122.0,15.277777777777777,2,22.22222222222222,20283,1
20105.19975108824,1463.8,124.60000000000123,121.8,15.277777777777777,2,22.22222222222222,20283,1
20105.61234554726,1463.39,124.60000000000123,121.6,15.277777777777777,2,22.22222222222222,20283,1
20106.062939801344,1462.94,124.60000000000123,121.4,15.277777777777777,2,22.22222222222222,20283,1
20106.551576251535,1462.45,124.60000000000123,121.2,15.277777777777777,2,22.22222222222222,20283,1
20107.07827440584,1461.92,124.60000000000123,121.0,15.277777777777777,2,22.22222222222222,20283,1
20107.643038293307,1461.36,124.60000000000123,120.8,15.277777777777777,2,22.22222222222222,20283,1
20108.2458614076,1460.75,124.60000000000123,120.6,15.277777777777777,2,22.22222222222222,20283,1
20108.88673000354,1460.11,124.60000000000123,120.4,15.277777777777777,2,22.22222222222222,20283,1
20109.565625295556,1459.43,124.60000000000123,120.2,15.277777777777777,2,22.22222222222222,20283,1
20110.282524924034,1458.72,124.60000000000123,120.0,15.277777777777777,2,22.22222222222222,20283,1
20111.03740393365,1457.96,124.60000000000123,119.8,15.277777777777777,2,22.22222222222222,20283,1
20111.830235426285,1457.17,124.60000000000123,119.6,15.277777777777777,2,22.22222222222222,20283,1
20112.66099099704,1456.34,124.60000000000123,119.4,15.277777777777777,2,22.22222222222222,20283,1
20113.529641025634,1455.47,124.60000000000123,119.2,15.277777777777777,2,22.22222222222222,20283,1
20114.436154871422,1454.56,124.60000000000123,119.0,15.277777777777777,2,22.22222222222222,20283,1
20115.380501004154,1453.62,124.60000000000123,118.8,15.277777777777777,2,22.22222222222222,20283,1
20116.3626470919,1452.64,124.60000000000123,118.6,15.277777777777777,2,22.22222222222222,20283,1
20117.382560060454,1451.62,124.60000000000123,118.4,15.277777777777777,2,22.22222222222222,20283,1
20118.440206133713,1450.56,124.60000000000123,118.2,15.277777777777777,2,22.22222222222222,20283,1
20119.535550861394,1449.46,124.60000000000123,118.0,15.277777777777777,2,22.22222222222222,20283,1
20120.66855913833,1448.33,124.60000000000123,117.8,15.277777777777777,2,22.22222222222222,20283,1
20121.83919521815,1447.16,124.60000000000123,117.6,15.277777777777777,2,22.22222222222222,20283,1
20123.047422723237,1445.95,124.60000000000123,117.4,15.277777777777777,2,22.22222222222222,20283,1
20124.293204652222,1444.71,124.60000000000123,117.2,15.277777777777777,2,22.22222222222222,20283,1
20125.576503385822,1443.42,124.60000000000123,117.0,15.277777777777777,2,22.22222222222222,20283,1
20126.897280691628,1442.1,124.60000000000123,116.8,15.277777777777777,2,22.22222222222222,20283,1
20128.25549772816,1440.74,124.60000000000123,116.6,15.277777777777777,2,22.22222222222222,20283,1
20129.65111504849,1439.35,124.60000000000123,116.4,15.277777777777777,2,22.22222222222222,20283,1
20131.08409260355,1437.92,124.60000000000123,116.2,15.277777777777777,2,22.22222222222222,20283,1
20132.55438974526,1436.45,124.60000000000123,116.0,15.277777777777777,2,22.22222222222222,20283,1
20134.061965229554,1434.94,124.60000000000123,115.8,15.277777777777777,2,22.22222222222222,20283,1
20135.606777219342,1433.39,124.60000000000123,115.6,15.277777777777777,2,22.22222222222222,20283,1
20137.18878328743,1431.81,124.60000000000123,115.4,15.277777777777777,2,22.22222222222222,20283,1
20138.807940419443,1430.19,124.60000000000123,115.2,15.277777777777777,2,22.22222222222222,20283,1
20140.464205016746,1428.54,124.60000000000123,115.0,15.277777777777777,2,22.22222222222222,20283,1
20142.157532899393,1426.84,124.60000000000123,114.8,15.277777777777777,2,22.22222222222222,20283,1
20143.887879309077,1425.11,124.60000000000123,114.6,15.277777777777777,2,22.22222222222222,20283,1
20145.655198912125,1423.34,124.60000000000123,114.4,15.277777777777777,2,22.22222222222222,20283,1
20147.459445802506,1421.54,124.60000000000123,114.2,15.277777777777777,2,22.22222222222222,20283,1
20149.300573504865,1419.7,124.60000000000123,114.0,15.277777777777777,2,22.22222222222222,20283,1
20151.178534977604,1417.82,124.60000000000123,113.8,15.277777777777777,2,22.22222222222222,20283,1
20153.093282615973,1415.91,124.60000000000123,113.6,15.277777777777777,2,22.22222222222222,20283,1
20155.04476825521,1413.96,124.60000000000123,113.4,15.277777777777777,2,22.22222222222222,20283,1
20157.0329431737,1411.97,124.60000000000123,113.2,15.277777777777777,2,22.22222222222222,20283,1
20159.057758096154,1409.94,124.60000000000123,113.0,15.277777777777777,2,22.22222222222222,20283,1
20161.119163196836,1407.88,124.60000000000123,112.8,15.277777777777777,2,22.22222222222222,20283,1
20163.217108102817,1405.78,124.60000000000123,112.6,15.277777777777777,2,22.22222222222222,20283,1
20165.35154189725,1403.65,124.60000000000123,112.4,15.277777777777777,2,22.22222222222222,20283,1
20167.522413122664,1401.48,124.60000000000123,112.2,15.277777777777777,2,22.22222222222222,20283,1
20169.72966978432,1399.27,124.60000000000123,112.0,15.277777777777777,2,22.22222222222222,20283,1
20171.97325935356,1397.03,124.60000000000123,111.8,15.277777777777777,2,22.22222222222222,20283,1
20174.253128771194,1394.75,124.60000000000123,111.6,15.277777777777777,2,22.22222222222222,20283,1
20176.569224450923,1392.43,124.60000000000123,111.4,15.277777777777777,2,22.22222222222222,20283,1
20178.921492282778,1390.08,124.60000000000123,111.2,15.277777777777777,2,22.22222222222222,20283,1
20181.30987763659,1387.69,124.60000000000123,111.0,15.277777777777777,2,22.22222222222222,20283,1
20183.734325365484,1385.27,124.60000000000123,110.8,15.277777777777777,2,22.22222222222222,20283,1
20186.194779809393,1382.81,124.60000000000123,110.6,15.277777777777777,2,22.22222222222222,20283,1
20188.691184798612,1380.31,124.60000000000123,110.4,15.277777777777777,2,22.22222222222222,20283,1
20191.223483657355,1377.78,124.60000000000123,110.2,15.277777777777777,2,22.22222222222222,20283,1
20193.791619207346,1375.21,124.60000000000123,110.0,15.277777777777777,2,22.22222222222222,20283,1
20196.39553377144,1372.6,124.60000000000123,109.8,15.277777777777777,2,22.22222222222222,20283,1
20199.035169177256,1369.96,124.60000000000123,109.6,15.277777777777777,2,22.22222222222222,20283,1
20201.71046676084,1367.29,124.60000000000123,109.4,15.277777777777777,2,22.22222222222222,20283,1
20204.421367370334,1364.58,124.60000000000123,109.2,15.277777777777777,2,22.22222222222222,20283,1
20207.167811369694,1361.83,124.60000000000123,109.0,15.277777777777777,2,22.22222222222222,20283,1
20209.9497386424,1359.05,124.60000000000123,108.8,15.277777777777777,2,22.22222222222222,20283,1
20212.76708859521,1356.23,124.60000000000123,108.6,15.277777777777777,2,22.22222222222222,20283,1
20215.599800161912,1353.4,124.60000000000123,108.4,15.277777777777777,2,22.22222222222222,20283,0
20218.427846751634,1350.57,124.60000000000123,108.2,15.277777777777777,2,22.22222222222222,20283,0
20221.251236472326,1347.75,124.60000000000123,108.0,15.277777777777777,2,22.22222222222222,20283,0
20224.06997740789,1344.93,124.60000000000123,107.8,15.277777777777777,2,22.22222222222222,20283,0
20226.884077618255,1342.12,124.60000000000123,107.6,15.277777777777777,2,22.22222222222222,20283,0
20229.693545139497,1339.31,124.60000000000123,107.4,15.277777777777777,2,22.22222222222222,20283,0
20232.498387983906,1336.5,124.60000000000123,107.2,15.277777777777777,2,22.22222222222222,20283,0
20235.29861414009,1333.7,124.60000000000123,107.0,15.277777777777777,2,22.22222222222222,20283,0
20238.09423157307,1330.91,124.60000000000123,106.8,15.277777777777777,2,22.22222222222222,20283,0
20240.885248224367,1328.11,124.60000000000123,106.6,15.277777777777777,2,22.22222222222222,20283,0
20243.67167201209,1325.33,124.60000000000123,106.4,15.277777777777777,2,22.22222222222222,20283,0
20246.45351083103,1322.55,124.60000000000123,106.2,15.277777777777777,2,22.22222222222222,20283,0
20249.230772552753,1319.77,124.60000000000123,106.0,15.277777777777777,2,22.22222222222222,20283,0
20252.003465025686,1317.0,124.60000000000123,105.8,15.277777777777777,2,22.22222222222222,20283,0
20254.771596075203,1314.23,124.60000000000123,105.6,15.277777777777777,2,22.22222222222222,20283,0
20257.535173503722,1311.46,124.60000000000123,105.4,15.277777777777777,2,22.22222222222222,20283,0
20260.294205090788,1308.71,124.60000000000123,105.2,15.277777777777777,2,22.22222222222222,20283,0
20263.048698593157,1305.95,124.60000000000123,105.0,15.277777777777777,2,22.22222222222222,20283,0
