,s,v
0,1.9360000000000002,1.76
1,2.2720000000000002,1.6
2,2.5760000000000005,1.44
3,2.8480000000000003,1.2799999999999998
4,3.0900000000000003,1.14
5,3.3040000000000003,0.9999999999999999
6,3.49,0.8599999999999999
7,3.648,0.7199999999999999
8,3.7800000000000002,0.5999999999999999
9,3.8880000000000003,0.47999999999999987
10,3.9720000000000004,0.3599999999999999
11,4.032,0.23999999999999988
12,4.07,0.13999999999999987
13,4.088,0.03999999999999987
14,4.088,0.0
15,4.088,0.0
16,4.088,0.0
17,4.088,0.0
18,4.088,0.0
19,4.088,0.0
20,4.088,0.0
21,4.088,0.0
22,4.09,0.020000000000000004
23,4.098,0.06000000000000001
24,4.114,0.10000000000000002
25,4.14,0.16000000000000003
26,4.18,0.24000000000000005
27,4.2379999999999995,0.3400000000000001
28,4.316,0.44000000000000006
29,4.4159999999999995,0.56
30,4.542,0.7000000000000001
31,4.6979999999999995,0.8600000000000001
32,4.885999999999999,1.02
33,5.105999999999999,1.1800000000000002
34,5.357999999999999,1.3400000000000003
35,5.641999999999999,1.5000000000000004
36,5.957999999999998,1.6600000000000006
37,6.305999999999998,1.8200000000000007
38,6.685999999999998,1.9800000000000009
39,7.097999999999998,2.140000000000001
40,7.541999999999998,2.300000000000001
41,8.017999999999999,2.4600000000000013
42,8.526,2.6200000000000014
43,9.066,2.7800000000000016
44,9.638000000000002,2.9400000000000017
45,10.242000000000003,3.100000000000002
46,10.878000000000004,3.260000000000002
47,11.546000000000005,3.420000000000002
48,12.246000000000006,3.5800000000000023
49,12.978000000000007,3.7400000000000024
50,13.742000000000008,3.9000000000000026
51,14.53800000000001,4.060000000000002
52,15.36600000000001,4.220000000000002
53,16.22600000000001,4.380000000000003
54,17.11800000000001,4.540000000000003
55,18.04200000000001,4.700000000000003
56,18.998000000000008,4.860000000000003
57,19.986000000000008,5.020000000000003
58,21.006000000000007,5.180000000000003
59,22.058000000000007,5.340000000000003
60,23.142000000000007,5.5000000000000036
61,24.258000000000006,5.660000000000004
62,25.406000000000006,5.820000000000004
63,26.586000000000006,5.980000000000004
64,27.798000000000005,6.140000000000004
65,29.042000000000005,6.300000000000004
66,30.318000000000005,6.460000000000004
67,31.626000000000005,6.6200000000000045
68,32.96600000000001,6.780000000000005
69,34.33800000000001,6.940000000000005
70,35.74200000000001,7.100000000000005
71,37.17800000000001,7.260000000000005
72,38.646000000000015,7.420000000000005
73,40.146000000000015,7.580000000000005
74,41.67800000000002,7.7400000000000055
75,43.24200000000002,7.900000000000006
76,44.83800000000002,8.060000000000006
77,46.46600000000002,8.220000000000006
78,48.126000000000026,8.380000000000006
79,49.818000000000026,8.540000000000006
80,51.54200000000003,8.700000000000006
81,53.29800000000003,8.860000000000007
82,55.086000000000034,9.020000000000007
83,56.906000000000034,9.180000000000007
84,58.75800000000004,9.340000000000007
85,60.64200000000004,9.500000000000007
86,62.55800000000004,9.660000000000007
87,64.50600000000004,9.820000000000007
88,66.48600000000005,9.980000000000008
89,68.49800000000005,10.140000000000008
90,70.54000000000005,10.280000000000008
91,72.61000000000006,10.420000000000009
92,74.70800000000006,10.56000000000001
93,76.83400000000006,10.70000000000001
94,78.98800000000006,10.84000000000001
95,81.17000000000006,10.980000000000011
96,83.38000000000007,11.120000000000012
97,85.61800000000007,11.260000000000012
98,87.88400000000007,11.400000000000013
99,90.17800000000007,11.540000000000013
100,92.50000000000007,11.680000000000014
101,94.85000000000008,11.820000000000014
102,97.22800000000008,11.960000000000015
103,99.63400000000009,12.100000000000016
104,102.06800000000008,12.240000000000016
105,104.53000000000009,12.380000000000017
106,107.0200000000001,12.520000000000017
107,109.5380000000001,12.660000000000018
108,112.0840000000001,12.800000000000018
109,114.6580000000001,12.940000000000019
110,117.2600000000001,13.08000000000002
111,119.89000000000011,13.22000000000002
112,122.54800000000012,13.36000000000002
113,125.23400000000012,13.500000000000021
114,127.94800000000012,13.640000000000022
115,130.6900000000001,13.780000000000022
116,133.46000000000012,13.920000000000023
117,136.25800000000012,14.060000000000024
118,139.08400000000012,14.200000000000024
119,141.93800000000013,14.340000000000025
120,144.82000000000014,14.480000000000025
121,147.73000000000013,14.620000000000026
122,150.66800000000015,14.760000000000026
123,153.63400000000016,14.900000000000027
124,156.62800000000016,15.040000000000028
125,159.65000000000015,15.180000000000028
126,162.70000000000016,15.320000000000029
127,165.77800000000016,15.46000000000003
128,168.88400000000016,15.60000000000003
129,172.01800000000017,15.74000000000003
130,175.18000000000018,15.880000000000031
131,178.37000000000018,16.02000000000003
132,181.5880000000002,16.160000000000032
133,184.8340000000002,16.300000000000033
134,188.1080000000002,16.440000000000033
135,191.4100000000002,16.580000000000034
136,194.7400000000002,16.720000000000034
137,198.0980000000002,16.860000000000035
138,201.4840000000002,17.000000000000036
139,204.89800000000022,17.140000000000036
140,208.34000000000023,17.280000000000037
141,211.81000000000023,17.420000000000037
142,215.30800000000025,17.560000000000038
143,218.83400000000026,17.70000000000004
144,222.38800000000026,17.84000000000004
145,225.97000000000025,17.98000000000004
146,229.58000000000027,18.12000000000004
147,233.21800000000027,18.26000000000004
148,236.88400000000027,18.40000000000004
149,240.5780000000003,18.540000000000042
150,244.3000000000003,18.680000000000042
151,248.0500000000003,18.820000000000043
152,251.82800000000032,18.960000000000043
153,255.63400000000033,19.100000000000044
154,259.46800000000036,19.240000000000045
155,263.3300000000004,19.380000000000045
156,267.22000000000037,19.520000000000046
157,271.1380000000004,19.660000000000046
158,275.0840000000004,19.800000000000047
159,279.0580000000004,19.940000000000047
