,s,speedlimit
0,0.0,15.27777778
1,0.0,15.27777778
2,0.0,15.27777778
3,220.0,15.27777778
4,220.0,15.27777778
5,220.0,15.27777778
6,220.0,22.22222222
7,1254.2691799999993,22.22222222
8,1254.2691799999993,22.22222222
9,1258.9626800000005,22.22222222
10,1258.9626800000005,22.01378884
11,1263.6561699999984,22.01378884
12,1263.6561699999984,21.78997324
13,1268.3496599999999,21.78997324
14,1268.3496599999999,21.55723556
15,1273.0431500000013,21.55723556
16,1273.0431500000013,21.32356524
17,1289.7599699999992,21.32356524
18,1289.7599699999992,20.48802402
19,1306.4768000000004,20.48802402
20,1306.4768000000004,19.62548758
21,1323.1936199999982,19.62548758
22,1323.1936199999982,18.73219086
23,1339.9104399999997,18.73219086
24,1339.9104399999997,17.80348567
25,1351.4328300000016,17.80348567
26,1351.4328300000016,17.13980396
27,1362.9552199999998,17.13980396
28,1362.9552199999998,16.454277
29,1374.4776100000017,16.454277
30,1374.4776100000017,15.74404899
31,1386.0,15.74404899
32,1386.0,15.00562417
33,1386.0,15.00562417
34,1386.0,15.00562417
35,1389.0608900000007,15.00562417
36,1389.0608900000007,14.80420809
37,1392.1217800000013,14.80420809
38,1392.1217800000013,14.60041182
39,1395.1826599999986,14.60041182
40,1395.1826599999986,14.39413544
41,1398.2435499999992,14.39413544
42,1398.2435499999992,14.18527201
43,1401.2435499999992,14.18527201
44,1401.2435499999992,13.97794277
45,1404.2435499999992,13.97794277
46,1404.2435499999992,13.76790299
47,1407.2435499999992,13.76790299
48,1407.2435499999992,13.55502818
49,1410.2435499999992,13.55502818
50,1410.2435499999992,13.33918432
51,1413.2435499999992,13.33918432
52,1413.2435499999992,13.12022704
53,1416.2435499999992,13.12022704
54,1416.2435499999992,12.8980003
55,1419.2435499999992,12.8980003
56,1419.2435499999992,12.672334239999998
57,1422.2435499999992,12.672334239999998
58,1422.2435499999992,12.44304421
59,1425.2435499999992,12.44304421
60,1425.2435499999992,12.20992927
61,1428.2435499999992,12.20992927
62,1428.2435499999992,11.97276986
63,1431.2435499999992,11.97276986
64,1431.2435499999992,11.73132385
65,1434.2435499999992,11.73132385
66,1434.2435499999992,11.48532457
67,1437.2435499999992,11.48532457
68,1437.2435499999992,11.23447794
69,1440.2435499999992,11.23447794
70,1440.2435499999992,10.97845811
71,1443.2435499999992,10.97845811
72,1443.2435499999992,10.71689905
73,1446.2435499999992,10.71689905
74,1446.2435499999992,10.44939049
75,1449.2435499999992,10.44939049
76,1449.2435499999992,10.17547167
77,1452.2435499999992,10.17547167
78,1452.2435499999992,9.894622052
79,1455.2435499999992,9.894622052
80,1455.2435499999992,9.606241085
81,1458.2435499999992,9.606241085
82,1458.2435499999992,9.309638285
83,1461.2435499999992,9.309638285
84,1461.2435499999992,9.004016746
85,1464.2435499999992,9.004016746
86,1464.2435499999992,8.688451317
87,1467.2435499999992,8.688451317
88,1467.2435499999992,8.361827259
89,1470.2435499999992,8.361827259
90,1470.2435499999992,8.022810595
91,1473.2435499999992,8.022810595
92,1473.2435499999992,7.669790615
93,1476.2435499999992,7.669790615
94,1476.2435499999992,7.300821782
95,1479.2435499999992,7.300821782
96,1479.2435499999992,6.913356618
97,1482.2435499999992,6.913356618
98,1482.2435499999992,6.50411855
99,1485.2435499999992,6.50411855
100,1485.2435499999992,6.068802816
101,1488.2435499999992,6.068802816
102,1488.2435499999992,5.601931351
103,1491.2435499999992,5.601931351
104,1491.2435499999992,5.094441608
105,1494.2435499999992,5.094441608
106,1494.2435499999992,4.532632122
107,1495.8947399999997,4.532632122
108,1495.8947399999997,4.19311173
109,1497.5459200000005,4.19311173
110,1497.5459200000005,3.825551323
111,1499.1971000000012,3.825551323
112,1499.1971000000012,3.420182772
113,1500.8482900000017,3.420182772
114,1500.8482900000017,2.961482447
115,1501.57229,2.961482447
116,1501.57229,2.737663568
117,1502.2963000000018,2.737663568
118,1502.2963000000018,2.495239411
119,1503.0203099999999,2.495239411
120,1503.0203099999999,2.227735192
121,1503.7443200000016,2.227735192
122,1503.7443200000016,1.9248669399999998
123,1504.0612099999998,1.9248669399999998
124,1504.0612099999998,1.77729793
125,1504.3781100000015,1.77729793
126,1504.3781100000015,1.617444375
127,1504.6950099999995,1.617444375
128,1504.6950099999995,1.441047889
129,1505.011910000001,1.441047889
130,1505.011910000001,1.24135207
131,1505.1506599999993,1.24135207
132,1505.1506599999993,1.144030703
133,1505.289420000001,1.144030703
134,1505.289420000001,1.038625072
135,1505.428179999999,1.038625072
136,1505.428179999999,0.922353251
137,1505.5669400000006,0.922353251
138,1505.5669400000006,0.790809109
139,1505.6278300000013,0.790809109
140,1505.6278300000013,0.726602006
141,1505.6887099999985,0.726602006
142,1505.6887099999985,0.657091147
143,1505.7495999999992,0.657091147
144,1505.7495999999992,0.580473017
145,1505.8104899999998,0.580473017
146,1505.8104899999998,0.493898984
147,1505.837309999999,0.493898984
148,1505.837309999999,0.451521646
149,1505.8641300000018,0.451521646
150,1505.8641300000018,0.405678556
151,1505.8909600000006,0.405678556
152,1505.8909600000006,0.355212927
153,1505.9177799999998,0.355212927
154,1505.9177799999998,0.298305571
155,1505.9296700000014,0.298305571
156,1505.9296700000014,0.270329128
157,1505.9415499999996,0.270329128
158,1505.9415499999996,0.240102186
159,1505.9534400000011,0.240102186
160,1505.9534400000011,0.20689496
161,1505.965329999999,0.20689496
162,1505.965329999999,0.16956778400000003
163,1505.97062,0.16956778400000003
164,1505.97062,0.151196335
165,1505.975910000001,0.151196335
166,1505.975910000001,0.131394306
167,1505.9811999999984,0.131394306
168,1505.9811999999984,0.10972199
169,1505.9864899999993,0.10972199
170,1505.9864899999993,0.085502096
171,1505.9890000000014,0.085502096
172,1505.9890000000014,0.072841855
173,1505.9915099999998,0.072841855
174,1505.9915099999998,0.05919402
175,1505.9940199999983,0.05919402
176,1505.9940199999983,0.044254252
177,1505.9965300000003,0.044254252
178,1505.9965300000003,0.027553455
179,1505.9972300000009,0.027553455
180,1505.9972300000009,0.022530936
181,1505.9979200000016,0.022530936
182,1505.9979200000016,0.017293979
183,1505.9986199999985,0.017293979
184,1505.9986199999985,0.011812026
185,1505.9993099999992,0.011812026
186,1505.9993099999992,0.006046711
187,1505.9994499999993,0.006046711
188,1505.9994499999993,0.004855677
189,1505.9995899999994,0.004855677
190,1505.9995899999994,0.0036509609999999994
191,1505.9997299999995,0.0036509609999999994
192,1505.9997299999995,0.002432081
193,1505.9998699999996,0.002432081
194,1505.9998699999996,0.001198525
195,1505.9998899999991,0.001198525
196,1505.9998899999991,0.000950005
197,1505.9999199999984,0.000950005
198,1505.9999199999984,0.000700873
199,1505.9999500000013,0.000700873
200,1505.9999500000013,0.000451122
201,1505.9999800000005,0.000451122
202,1505.9999800000005,0.000200749
203,1505.9999800000005,0.000200749
204,1505.9999800000005,0.0001506
205,1505.9999900000003,0.0001506
206,1505.9999900000003,0.00010042499999999999
207,1505.9999900000003,0.00010042499999999999
208,1505.9999900000003,5.02e-05
209,1506.0,5.02e-05
