,s,vbar,v,t,p,acc
0,0.0,0.0,0.1,0.0,0.0,0.6
1,0.10318683232253534,2.502561640930181,0.5318683232272,0.2,0.194295,1.0
2,0.21541244637046475,3.806335112322286,0.5903878172550424,0.4,0.3444645195380961,1.0
3,0.3411168672319036,-0.1988277710809454,0.6666563913622242,0.6000000000000001,0.48432858180395577,1.0
4,0.4832564007374458,0.1961759823207038,0.7547389436898323,0.8,0.6236533504727421,1.0
5,0.6464647943575983,0.45071492138314123,0.8773449925271202,1.0,0.9595094027658575,1.0
6,0.8364926250324061,1.157471395430443,1.0229333142364034,1.2,1.3117991924037704,1.0
7,1.0571668117081572,1.6220824907224392,1.1838085525284316,1.4,1.6821572161133025,1.0
8,1.3110315900885325,1.9362098360890438,1.3548392312775568,1.5999999999999999,2.064498703093842,1.0
9,1.5997758277626417,2.1511049803624824,1.5326031454719449,1.7999999999999998,2.452639658345189,1.0
10,1.9245179056742927,2.3002221568585712,1.7148176336265482,1.9999999999999998,2.842218618373277,1.0
11,2.285995644833747,2.4060348136135006,1.8999597579551901,2.1999999999999997,3.2306923805023025,1.0
12,2.684692929236917,2.4832848536467833,2.087013086080203,2.4,3.616840635305092,1.0
13,3.120924125210877,2.541682276302415,2.2752988736434694,2.6,4.0002693286005275,1.0
14,3.594890364089224,2.587552571570085,2.46436351512449,2.8000000000000003,4.381040607986405,1.0
15,4.106717066388228,2.6252217492873027,2.6539035078766755,3.0000000000000004,4.759432123042599,1.0
16,4.6564789597650815,2.657495623361431,2.8437154258974457,3.2000000000000006,5.135794766307556,1.0
17,5.2442167590998,2.686211348291872,3.0336625674580397,3.400000000000001,5.510476281650778,1.0
18,5.869948287760053,2.71257764391938,3.2236527191486006,3.600000000000001,5.8837854361299105,1.0
19,6.533675892798783,2.7373894703097186,3.413623331223432,3.800000000000001,6.255979443787536,1.0
20,7.23539138932756,2.761169318984942,3.6035316340584327,4.000000000000001,6.627263671888436,1.0
21,7.975079357616778,2.7842185775846158,3.7933480488501936,4.200000000000001,6.997797082482599,1.0
22,8.752719341959164,2.806803374020602,3.9830517945887953,4.400000000000001,7.367699726053637,1.0
23,9.568287317346403,2.8290730455741584,4.172627959288623,4.600000000000001,7.737060361957973,1.0
24,10.421756668019952,2.851121186159174,4.362065547441669,4.800000000000002,8.10594330923976,1.0
25,11.313098840597377,2.873009593454285,4.551356178319423,5.000000000000002,8.47439420319516,1.0
26,12.242283780247817,2.894776375489926,4.740493218196086,5.200000000000002,8.842444629849696,1.0
27,13.209280222254165,2.916446129611218,4.929471201867339,5.400000000000002,9.210115748418945,1.0
28,14.214055887143331,2.93803449242133,5.118285447042435,5.600000000000002,9.577421062160639,1.0
29,15.256577611580724,2.9595499287969713,5.306931797324703,5.8000000000000025,9.944368503131669,1.0
30,16.336811436405696,2.9809980967687495,5.4954064509216245,6.000000000000003,10.310961980481837,1.0
31,17.454722666148882,3.002381540598463,5.683705846510395,6.200000000000003,10.677202518333324,1.0
32,18.61027590951926,3.0236984038723187,5.8718265872085595,6.400000000000003,11.043089084849466,1.0
33,19.80343510723469,3.0449301132533293,6.059765389948795,6.600000000000003,11.408619191958678,1.0
34,21.03416355140871,3.0660980345219806,6.247519051790068,6.800000000000003,11.773789326536166,1.0
35,22.302423899338464,3.0872005552532045,6.435084427519723,7.0000000000000036,12.138595258796734,1.0
36,23.60817818356736,3.1082352228007633,6.622458414782626,7.200000000000004,12.503032261879559,1.0
37,24.951387819466618,3.129200516670102,6.809637944227996,7.400000000000004,12.867095267597232,1.0
38,26.332013611190632,3.1500937053734916,6.996619973000921,7.600000000000004,13.230778976542208,1.0
39,27.750015756537323,3.1709121896307426,7.183401480463138,7.800000000000004,13.594077935708981,1.0
40,29.205353851124528,3.191653656179053,7.369979465399437,8.000000000000004,13.956986593089944,1.0
41,30.697986892086192,3.212314871030406,7.556350944213885,8.200000000000003,14.319499336007281,1.0
42,32.22787328148479,3.232892781633927,7.74251294978531,8.400000000000002,14.681610517993475,1.0
43,33.794970829538215,3.253383784354844,7.928462530761658,8.600000000000001,15.043314477631718,1.0
44,35.39923675773025,3.273784595965043,8.114196751146293,8.8,15.404605551765362,1.0
45,37.04062770185192,3.2940908742257733,8.299712690078238,9.0,15.765478084772612,1.0
46,38.719099715035554,3.31429856597197,8.485007441741073,9.2,16.12592643509714,1.0
47,40.43460827074523,3.334403222510801,8.670078115356903,9.399999999999999,16.485944979868325,1.0
48,42.187108265803545,3.3543992158787765,8.854921835236356,9.599999999999998,16.845528118193567,1.0
49,43.97655402341479,3.3742693197197107,9.03953574086525,9.799999999999997,17.204670273528585,1.0
50,45.80289929620267,3.394013137738137,9.223916987015008,9.999999999999996,17.563365895408175,1.0
51,47.66609726929164,3.413630931427179,9.40806274386818,10.199999999999996,17.921609460733606,1.0
52,49.566100563395594,3.4331148148660806,9.59197019715336,10.399999999999995,18.279395474752565,1.0
53,51.502861237939214,3.4524571397334043,9.775636548285618,10.599999999999994,18.636718471825844,1.0
54,53.47633079421939,3.47164916703988,9.959059014509915,10.799999999999994,18.993573016045826,1.0
55,55.48646017857391,3.490681426554554,10.142234829045758,10.999999999999993,19.349953701751687,1.0
56,57.53319978560103,3.5095432720002617,10.32516124123198,11.199999999999992,19.705855153972255,1.0
57,59.61649946139005,3.528223620793123,10.507835516670836,11.399999999999991,20.061272028817903,1.0
58,61.73630850679547,3.5467093574531408,10.690254937370938,11.59999999999999,20.416199013836074,1.0
59,63.892575680722075,3.564986944085838,10.872416801888651,11.79999999999999,20.770630828340558,1.0
60,66.08524920345735,3.5830405873715487,11.054318425467724,11.99999999999999,21.124562223721412,1.0
61,68.31427676002204,3.600853623812062,11.235957140177,12.199999999999989,21.477987983740267,1.0
62,70.57960550354255,3.6184071404213234,11.417330295046083,12.399999999999988,21.830902924814204,1.0
63,72.88118205866704,3.6356800338077133,11.598435256198895,12.599999999999987,22.18330189629053,1.0
64,75.21895252498507,3.6526492249167593,11.779269406985057,12.799999999999986,22.535179780713847,1.0
65,77.59286248049466,3.669288604502185,11.959830148109065,12.999999999999986,22.886531494086448,1.0
66,80.00285698508014,3.6855696993404123,12.140114897757229,13.199999999999985,23.237351986122864,1.0
67,82.44888058402648,3.7014594439947905,12.32012109172235,13.399999999999984,23.58763624049885,1.0
68,84.93087731155174,3.716909976328465,12.499846183526108,13.599999999999984,23.937379275095253,1.0
69,87.44879069435774,3.7318837219801355,12.679287644539178,13.799999999999983,24.28657614223695,1.0
70,90.00256375522076,3.746342077163881,12.858442964099027,13.999999999999982,24.6352219289269,1.0
71,92.59213901659314,3.7602331629823045,13.0373096496254,14.199999999999982,24.983311757075583,1.0
72,95.21745850423031,3.773498034135786,13.215885226733489,14.39999999999998,25.33084078372573,1.0
73,97.87846375083973,3.7860683554377412,13.394167239344771,14.59999999999998,25.677804201272412,1.0
74,100.57509579975522,3.797866822922954,13.572153249795504,14.79999999999998,26.024197237678553,1.0
75,103.30729520862951,3.8088050169405765,13.74984083894289,14.999999999999979,26.370015156685874,1.0
76,106.07500205315228,3.8187796974245796,13.927227606268888,15.199999999999978,26.71525325802118,1.0
77,108.87815593077903,3.8276714653886175,14.10431116998168,15.399999999999977,27.05990687759817,1.0
