,s,vbar,v,t,p,acc
0,0.0,0.0,0.1,0.0,0.0,0.6
1,0.10318683232253534,9.353116808088181,0.5318683232272,0.2,0.194295,1.0
2,0.21541244637046475,9.305247982449798,0.5903878172550424,0.4,0.3444645195380961,1.0
3,0.3411168672319036,9.377530970685596,0.6666563913622242,0.6000000000000001,0.48432858180395577,1.0
4,0.4832564007374458,9.444450755674298,0.7547389436898323,0.8,0.6236533504727421,1.0
5,0.6464647943575983,9.507589903116155,0.8773449925271202,1.0,0.9595094027658575,1.0
6,0.8364926250324061,9.558817130363419,1.0229333142364034,1.2,1.3117991924037704,1.0
7,1.0571668117081572,9.601365819688201,1.1838085525284316,1.4,1.6821572161133025,1.0
8,1.3110315900885325,9.63744242594985,1.3548392312775568,1.5999999999999999,2.064498703093842,1.0
9,1.5997758277626417,9.668541565499549,1.5326031454719449,1.7999999999999998,2.452639658345189,1.0
10,1.9245179056742927,9.695669417335209,1.7148176336265482,1.9999999999999998,2.842218618373277,1.0
11,2.285995644833747,9.719499251414755,1.8999597579551901,2.1999999999999997,3.2306923805023025,1.0
12,2.684692929236917,9.740478432494955,2.087013086080203,2.4,3.616840635305092,1.0
13,3.120924125210877,9.758901467933338,2.2752988736434694,2.6,4.0002693286005275,1.0
14,3.594890364089224,9.774959616079325,2.46436351512449,2.8000000000000003,4.381040607986405,1.0
15,4.106717066388228,9.788774457772519,2.6539035078766755,3.0000000000000004,4.759432123042599,1.0
16,4.6564789597650815,9.80042055984183,2.8437154258974457,3.2000000000000006,5.135794766307556,1.0
17,5.2442167590998,9.809940748279978,3.0336625674580397,3.400000000000001,5.510476281650778,1.0
18,5.869948287760053,9.817356387680485,3.2236527191486006,3.600000000000001,5.8837854361299105,1.0
19,6.533675892798783,9.822674292497565,3.413623331223432,3.800000000000001,6.255979443787536,1.0
20,7.23539138932756,9.825891369421946,3.6035316340584327,4.000000000000001,6.627263671888436,1.0
21,7.975079357616778,9.82699773274831,3.7933480488501936,4.200000000000001,6.997797082482599,1.0
22,8.752719341959164,9.825978792684655,3.9830517945887953,4.400000000000001,7.367699726053637,1.0
23,9.568287317346403,9.822816653178498,4.172627959288623,4.600000000000001,7.737060361957973,1.0
24,10.421756668019952,9.817491045676574,4.362065547441669,4.800000000000002,8.10594330923976,1.0
25,11.313098840597377,9.809979951042685,4.551356178319423,5.000000000000002,8.47439420319516,1.0
26,12.242283780247817,9.800260011931968,4.740493218196086,5.200000000000002,8.842444629849696,1.0
27,13.209280222254165,9.788306804341465,4.929471201867339,5.400000000000002,9.210115748418945,1.0
28,14.214055887143331,9.77409501448274,5.118285447042435,5.600000000000002,9.577421062160639,1.0
29,15.256577611580724,9.75759855195666,5.306931797324703,5.8000000000000025,9.944368503131669,1.0
30,16.336811436405696,9.738790620015685,5.4954064509216245,6.000000000000003,10.310961980481837,1.0
31,17.454722666148882,9.71764375686114,5.683705846510395,6.200000000000003,10.677202518333324,1.0
32,18.61027590951926,9.694129857321494,5.8718265872085595,6.400000000000003,11.043089084849466,1.0
33,19.80343510723469,9.668220181178185,6.059765389948795,6.600000000000003,11.408619191958678,1.0
