s,sr,t,tr,sl,gd,nsl,nsld,un
20103.0,1466.0,106.60000000000097,106.6,15.277777777777777,2,22.22222222222222,20283,1
20103.003209924,1466.0,106.60000000000097,106.4,15.277777777777777,2,22.22222222222222,20283,1
20103.01550494916,1465.98,106.60000000000097,106.2,15.277777777777777,2,22.22222222222222,20283,1
20103.04132549473,1465.96,106.60000000000097,106.0,15.277777777777777,2,22.22222222222222,20283,1
20103.08362846373,1465.92,106.60000000000097,105.8,15.277777777777777,2,22.22222222222222,20283,1
20103.147048335442,1465.85,106.60000000000097,105.6,15.277777777777777,2,22.22222222222222,20283,1
20103.237336629776,1465.76,106.60000000000097,105.4,15.277777777777777,2,22.22222222222222,20283,1
20103.358321470547,1465.64,106.60000000000097,105.2,15.277777777777777,2,22.22222222222222,20283,1
20103.512548471645,1465.49,106.60000000000097,105.0,15.277777777777777,2,22.22222222222222,20283,1
20103.7017079931,1465.3,106.60000000000097,104.8,15.277777777777777,2,22.22222222222222,20283,1
20103.926919983136,1465.07,106.60000000000097,104.6,15.277777777777777,2,22.22222222222222,20283,1
20104.1889238786,1464.81,106.60000000000097,104.4,15.277777777777777,2,22.22222222222222,20283,1
20104.488205210295,1464.51,106.60000000000097,104.2,15.277777777777777,2,22.22222222222222,20283,1
20104.825080010593,1464.17,106.60000000000097,104.0,15.277777777777777,2,22.22222222222222,20283,1
20105.19975108824,1463.8,106.60000000000097,103.8,15.277777777777777,2,22.22222222222222,20283,1
20105.61234554726,1463.39,106.60000000000097,103.6,15.277777777777777,2,22.22222222222222,20283,1
20106.062939801344,1462.94,106.60000000000097,103.4,15.277777777777777,2,22.22222222222222,20283,1
20106.551576251535,1462.45,106.60000000000097,103.2,15.277777777777777,2,22.22222222222222,20283,1
20107.07827440584,1461.92,106.60000000000097,103.0,15.277777777777777,2,22.22222222222222,20283,1
20107.643038293307,1461.36,106.60000000000097,102.8,15.277777777777777,2,22.22222222222222,20283,1
20108.2458614076,1460.75,106.60000000000097,102.6,15.277777777777777,2,22.22222222222222,20283,1
20108.88673000354,1460.11,106.60000000000097,102.4,15.277777777777777,2,22.22222222222222,20283,1
20109.565625295556,1459.43,106.60000000000097,102.2,15.277777777777777,2,22.22222222222222,20283,1
20110.282524924034,1458.72,106.60000000000097,102.0,15.277777777777777,2,22.22222222222222,20283,1
20111.03740393365,1457.96,106.60000000000097,101.8,15.277777777777777,2,22.22222222222222,20283,1
20111.830235426285,1457.17,106.60000000000097,101.6,15.277777777777777,2,22.22222222222222,20283,1
20112.66099099704,1456.34,106.60000000000097,101.4,15.277777777777777,2,22.22222222222222,20283,1
20113.529641025634,1455.47,106.60000000000097,101.2,15.277777777777777,2,22.22222222222222,20283,1
