,0
0,217.00159004184894
1,218.49138592778914
2,217.00159004184894
3,-1399.9449234719968
4,217.00159004184894
5,217.00159004184894
6,-1870.6503242828126
7,-2434.5321612296884
8,-5117.768271641216
9,805.7987708787737
10,-4702.647198911377
11,217.00159004184894
12,217.00159004184894
13,217.00159004184894
14,-14010.912297993651
15,217.00159004184894
16,217.00159004184894
17,217.00159004184894
18,218.53356699490243
19,-2314.9915721240777
20,-6550.643807848149
21,-1615.4100721606487
22,217.00159004184894
23,-4734.270575161733
24,-4352.233656087675
25,217.00159004184894
26,216.31931360787368
27,217.00159004184894
28,217.00159004184894
29,217.00159004184894
30,359.861089578825
31,-4576.912736206347
32,217.00159004184894
33,217.00159004184894
34,230.66529303233938
35,226.64121501109653
36,-6150.124589323802
37,-7000.255734756234
38,-10571.913786717814
39,217.00159004184894
40,217.00159004184894
41,-6548.851262405465
42,217.00159004184894
43,217.00159004184894
44,226.64121501109653
45,217.00159004184894
46,217.00159004184894
47,217.00159004184894
48,217.00159004184894
49,217.00159004184894
50,217.00159004184894
51,217.00159004184894
52,217.00159004184894
53,218.49138592778914
54,217.00159004184894
55,217.00159004184894
56,217.00159004184894
57,217.00159004184894
58,217.00159004184894
59,217.00159004184894
60,217.00159004184894
61,217.00159004184894
62,233.0281888250333
63,217.00159004184894
64,217.00159004184894
65,217.00159004184894
66,217.00159004184894
67,217.00159004184894
68,217.00159004184894
69,217.00159004184894
70,217.00159004184894
71,217.00159004184894
72,217.00159004184894
73,217.00159004184894
74,217.00159004184894
75,217.00159004184894
76,217.00159004184894
77,226.64121501109653
78,217.00159004184894
79,216.31931360787368
80,217.00159004184894
81,217.00159004184894
82,217.00159004184894
83,217.00159004184894
84,217.00159004184894
85,217.00159004184894
86,217.00159004184894
87,216.01574382764738
88,217.00159004184894
89,217.00159004184894
90,217.00159004184894
91,218.49138592778914
92,217.00159004184894
93,217.00159004184894
94,217.00159004184894
95,217.00159004184894
96,217.00159004184894
97,217.00159004184894
98,217.00159004184894
99,217.00159004184894
100,217.00159004184894
101,-4147.930406458724
102,1077.4168792980417
103,-2331.5385112612717
104,-422.4280477576022
105,-4422.588945068792
106,-5267.541469355854
107,-6867.775945289984
108,-1615.3358868757737
109,-1854.2633092714975
110,-4092.6298620566163
111,-4290.311363923189
112,-7238.3028582883235
113,-2866.9496788623323
114,-1316.4083722208704
115,-5620.844663704677
116,-2140.4964417802294
117,-7213.335889196821
118,1093.1643163876968
119,-13527.713985321496
120,-4654.052712596562
121,-4982.583851124898
122,-360.3826524116663
123,-979.6334491772975
124,-1335.2283287659402
125,-2630.919443397301
126,-2515.684475219445
127,-3511.1101048001324
128,-2704.5060531825425
129,-5371.869641019568
130,-4640.590896100015
131,1580.0185082350367
132,57.42934203300739
133,-658.1690058610002
134,-9451.363980936945
135,-6053.318863608956
136,-4061.6569183493607
137,-2727.0040004514854
138,-4255.660449469695
139,-1225.1969340830428
140,-10173.494768990868
141,464.1874781039039
142,-4827.899210564216
143,-6726.596657616966
144,1877.432970284382
145,-8741.100074852506
146,-6808.574049611929
147,-405.8797111688155
148,-7110.618036000782
149,-1186.6652207131317
150,-2733.693642574938
151,-4927.544309256586
152,-6615.545535797392
153,-3207.846457657836
154,-7676.240648786651
155,243.75846235806765
156,-3012.312179168739
157,-4847.169781118736
