,s,vbar,v,t,p,acc
0,0.0,0.0,0.1,0.0,0.0,0.6
1,0.09518683232090552,0.03209924,0.4518683232272,0.2,0.0,-0.22135647760000002
2,0.17808298533418565,0.25567524583521545,0.3770932069130716,0.4,0.0,-0.6300833258978696
3,0.2611387924698647,0.3785234712755849,0.4534648644386201,0.6000000000000001,0.30935092624585103,0.028055647056671233
4,0.3606504733179463,0.5560595568123458,0.5416519440473997,0.8,0.42421386143308226,0.31841282988407466
5,0.47606113020447083,0.6880756413768873,0.6124546248215574,1.0,0.41546030380085547,0.4472181819800396
6,0.6071975752893195,0.8162564282792896,0.6989098260364888,1.2,0.5631049439338447,0.6342904288067338
7,0.7526530510076554,0.945862871413738,0.7556449311486544,1.4,0.4410952625132951,0.7757159644461746
8,0.9094099302710674,1.0760954504238613,0.8119238615018367,1.5999999999999999,0.47376372649392906,1.0
9,1.0782499239103345,1.203117182894144,0.8764760748742652,1.7999999999999998,0.5745321257689787,1.0
10,1.261797643994214,1.3244061624721917,0.9590011259760114,1.9999999999999998,0.7735284230774399,1.0
11,1.4639893054700224,1.448351395406957,1.0629154887703518,2.1999999999999997,1.0460351769072862,1.0
12,1.6898823735973565,1.5749212246648723,1.1960151924878817,2.4,1.4613174011467547,1.0
13,1.9443375336268218,1.70298213820575,1.348536407815133,2.6,1.8708029240183657,1.0
14,2.2305880432577396,1.8389458055327155,1.5139686884877255,2.8000000000000003,2.2796303337383215,1.0
15,2.550781962734618,1.9822327801365298,1.6879705062820443,3.0000000000000004,2.686711794468471,1.0
16,2.906343643720902,2.129572694136691,1.8676463035932904,3.2000000000000006,3.0902128044777277,1.0
17,3.2982147273833107,2.2819613077219256,2.051064533013016,3.400000000000001,3.489014527040407,1.0
18,3.727014815362054,2.4396606464413084,2.2369363467574424,3.600000000000001,3.8828149132314254,1.0
19,4.193148588463373,2.601722328589126,2.424401384267257,3.800000000000001,4.271874376653927,1.0
20,4.69687722279923,2.7673700137921777,2.6128849590813465,4.000000000000001,4.656747630072371,1.0
21,5.238366003337433,2.935974177156233,2.8020028462862094,4.200000000000001,5.038090658844462,1.0
22,5.81771606843904,3.106884381229426,2.9914978047136773,4.400000000000001,5.4165454129162285,1.0
23,6.4349855745567766,3.2789550675143526,3.181197256469056,4.600000000000001,5.792682014370265,1.0
24,7.090203807401849,3.452939798255223,3.370985071964459,4.800000000000002,6.166977461306669,1.0
25,7.783380590502929,3.628518457898473,3.5607827590626644,5.000000000000002,6.5398149213338215,1.0
26,8.514512558602291,3.805430892434639,3.750536921933992,5.200000000000002,6.9114931427011514,1.0
27,9.283587340789381,3.9834640622002904,3.9402108999312655,5.400000000000002,7.282239709909772,1.0
28,10.090586350110243,4.162442146360419,4.129779193285363,5.600000000000002,7.652224709080827,1.0
29,10.93548664411719,4.342218907167331,4.319223746776649,5.8000000000000025,8.02157313375239,1.0
30,11.818262166005297,4.522671777033455,4.508531472120942,6.000000000000003,8.390375386108301,1.0
31,12.738884572838288,4.703697258021302,4.697692596207801,6.200000000000003,8.75869577960907,1.0
32,13.697323788452195,4.885207322658835,4.886699559935391,6.400000000000003,9.126579214958744,1.0
33,14.693548372859368,5.067126581082827,5.075546284128433,6.600000000000003,9.494056305143951,1.0
34,15.727525769292697,5.249390037146646,5.264227680190556,6.800000000000003,9.861147242846476,1.0
35,16.799222469704546,5.431941299444156,5.452739323920918,7.0000000000000036,10.227864679653411,1.0
36,17.908604125907004,5.6147311456600395,5.641077238112167,7.200000000000004,10.594215846333238,1.0
37,19.05563562448515,5.797716362944482,5.829237747672536,7.400000000000004,10.96020410029263,1.0
38,20.240281137561396,5.980858805268176,6.017217383099313,7.600000000000004,11.325830046539854,1.0
39,21.462504157490912,6.164124622378611,6.20501281618766,7.800000000000004,11.69109234456633,1.0
40,22.722267520832247,6.347483625323408,6.392620817230208,8.000000000000004,12.055988286004698,1.0
41,24.019533425209374,6.530908761325367,6.580038226543963,8.200000000000003,12.420514206250493,1.0
42,25.35426344141888,6.714375676758798,6.76726193554865,8.400000000000002,12.784665776582198,1.0
43,26.726418522393942,6.897862351508463,6.954288874212385,8.600000000000001,13.148438210742519,1.0
44,28.135959010091028,7.081348791511542,7.1411160027418425,8.8,13.511826410581714,1.0
45,29.582844640975964,7.264816768982175,7.327740306101573,9.0,13.874825068468898,1.0
46,31.067034550629614,7.4482496019093825,7.514158790418895,9.2,14.237428739145042,1.0
47,32.58848727773511,7.6316319660927565,7.700368480645249,9.399999999999999,14.59963189004618,1.0
48,34.14716076770492,7.814895468760624,7.88636641905457,9.599999999999998,14.96142893650194,1.0
49,35.74301237603868,7.99807207033889,8.072149664299051,9.799999999999997,15.322814266336563,1.0
50,37.37599887155375,8.181164757119902,8.257715290835842,9.999999999999996,15.683782257061859,1.0
51,39.046076439495664,8.364161641680925,8.443060388600376,10.199999999999996,16.044327287902526,1.0
52,40.75320068464134,8.547051652524457,8.628182062843448,10.399999999999995,16.40444374822335,1.0
53,42.49732663433315,8.729824446648857,8.81307743407677,10.599999999999994,16.764126043455427,1.0
54,44.278408741549356,8.912470333346768,8.997743638090167,10.799999999999994,17.123368599286408,1.0
55,46.096400887960044,9.094980207612977,9.182177826015813,10.999999999999993,17.48216586464726,1.0
56,47.95125638700483,9.277345491766145,9.366377164423165,11.199999999999992,17.840512313865542,1.0
57,49.8429279869888,9.459558084127424,9.550338835433607,11.399999999999991,18.198402448241747,1.0
58,51.77136787421841,9.64161031378697,9.73406003684756,11.59999999999999,18.555830797226424,1.0
59,53.73652767613021,9.823494900632054,9.917537982279153,11.79999999999999,18.91279191932095,1.0
60,55.738358464488556,10.005204919935636,10.100769901295244,11.99999999999999,19.269280402786773,1.0
61,57.77681075857254,10.186733770917554,10.283753039556572,12.199999999999989,19.625290866221693,1.0
62,59.85183452842466,10.368075148761385,10.466484658959633,12.399999999999988,19.980817959043467,1.0
63,61.963379198099574,10.549223019661458,10.648962037778283,12.599999999999987,20.335856361908426,1.0
64,64.11139364895644,10.73017159851514,10.831182470804423,12.799999999999986,20.690400787084254,1.0
65,66.29582622298403,10.910915328954731,11.013143269487326,12.999999999999986,21.044445978789973,1.0
66,68.51662472614044,11.091448865423853,11.194841762071308,13.199999999999985,21.397986713512054,1.0
67,70.77373643172177,11.271767057068388,11.376275293731544,13.399999999999984,21.751017800302893,1.0
68,73.06710808376738,11.451864933229922,11.557441226707896,13.599999999999984,22.10353408106581,1.0
69,75.39668590048313,11.631737690360836,11.738336940436646,13.799999999999983,22.455530430829395,1.0
70,77.7624155776939,11.81138068019803,11.918959831680082,13.999999999999982,22.807001758013286,1.0
71,80.16424229232871,11.99078939906228,12.099307314653881,14.199999999999982,23.15794300468656,1.0
72,82.60211070590958,12.169959478160797,12.279376821152251,14.39999999999998,23.508349146819807,1.0
73,85.07596496809128,12.348886674778363,12.459165800670824,14.59999999999998,23.858215194531272,1.0
74,87.585748720212,12.527566864275451,12.63867172052726,14.79999999999998,24.207536192327815,1.0
75,90.13140509886216,12.705996032798133,12.817892065979555,14.999999999999979,24.556307219340574,1.0
76,92.71287673949337,12.884170270637897,12.996824340342052,15.199999999999978,24.90452338955585,1.0
77,95.33010578003814,13.06208576616558,13.17546606509912,15.399999999999977,25.252179852041145,1.0
78,97.9830338645479,13.239738800290858,13.353814780016528,15.599999999999977,25.599271791166462,1.0
79,100.67160214687465,13.41712574138933,13.531868043250455,15.799999999999976,25.945794426821035,1.0
80,103.39575129434525,13.59424304065805,13.709623431454194,15.999999999999975,26.29174301462531,1.0
81,106.1554214914795,13.771087227851714,13.88707853988249,16.199999999999974,26.637112846138415,1.0
82,108.95055244371542,13.947654907370573,14.064230982493536,16.399999999999974,26.981899249060962,1.0
83,111.7810833811709,14.1239427546627,14.24107839204861,16.599999999999973,27.3260975874333,1.0
84,114.6469530623981,14.158632519830734,14.417618420209365,16.799999999999972,27.66970326182915,0.5638671337562737
85,117.51101235956594,14.135015629096037,14.222974551472532,16.99999999999997,0.0,-0.06515964529856406
86,120.37326443252459,14.11141583335933,14.399546178129217,17.19999999999997,27.634528404782806,0.5155192489941349
87,123.23371246490206,14.087833057496248,14.204934145652349,17.39999999999997,0.0,-0.17788644090712064
88,126.08945205004056,14.064267226162114,14.352461705739644,17.59999999999997,23.587130490672322,0.4010522680841704
89,128.9457495242532,14.040742215672873,14.210513036386502,17.79999999999997,0.0,-0.19922836739330024
90,131.79683450426091,14.017214592320032,14.300336763685886,17.999999999999968,15.63163134555316,0.20233158727898498
91,134.64581089500643,13.99373183833353,14.189427143786167,18.199999999999967,0.0,-0.20232965755705595
92,137.48985608282965,13.970268335202194,14.251024734457005,18.399999999999967,11.712491250224131,0.08700968384390975
93,140.33072060678387,13.946847277552266,14.157620505072837,18.599999999999966,0.0,-0.2207898615505018
94,143.1659239218825,13.923454195870368,14.194412645909813,18.799999999999965,8.2669392719341,0.006199562208770182
95,145.99711261540506,13.900109463047245,14.11747428931997,18.999999999999964,0.0,-0.2178988540157545
96,148.81413227396115,13.876799466681677,14.052722296227099,19.199999999999964,0.0,-0.04870121592435781
97,151.62660254107686,13.853607752135623,14.071980374926525,19.399999999999963,5.787131476812095,0.06161913073511689
98,154.43581463466762,13.830455060323532,14.020140560997966,19.599999999999962,0.0,-0.09689890948728389
99,157.23417085989422,13.807330709953717,13.963421691252709,19.79999999999996,0.0,-0.009295863059650532
100,160.02712483832147,13.784297187909853,13.96611809301955,19.99999999999996,3.4828512614939204,0.08200668667248734
101,162.81592766243193,13.761309546215815,13.921910148084184,20.19999999999996,0.0,-0.019207834750829388
102,165.6000799307767,13.73835744351299,13.919612535350518,20.39999999999996,2.787417152560468,0.04293450681120781
103,168.38027614985913,13.715444939988608,13.882349655466191,20.59999999999996,0.0,-0.039534367887312016
104,171.15295812299155,13.692566259119431,13.844470075849557,20.799999999999958,0.0,-0.0007689566614916374
105,173.92070540330678,13.669750628816999,13.833002727287537,20.999999999999957,1.5207780098804689,0.034075674518971
106,176.68399039856013,13.646976770526427,13.799847225239224,21.199999999999957,0.0,-0.016279503880902622
107,179.44264693001605,13.62424074680743,13.786718089309465,21.399999999999956,1.2828773473291741,0.008787740012712385
108,182.19707986671347,13.601543874949847,13.757611277646474,21.599999999999955,0.0,-0.035023363483765134
109,184.94568358678953,13.578882774328754,13.728425923120906,21.799999999999955,0.0,-0.023207251163188246
110,187.68965687907257,13.578966284137994,13.711306999703893,21.999999999999954,0.7279105177384173,0.06019639416084377
111,190.4300859490395,13.75731032396629,13.692983699963172,22.199999999999953,0.5627048131459332,0.6825843031346129
112,193.16694614218068,13.932864763720865,13.675618231437825,22.399999999999952,0.6852315477884484,1.0
113,195.90129919392348,14.106544316671354,13.667912285987255,22.59999999999995,0.6617886424180887,1.0
114,198.63434762866018,14.286273452829622,13.662572061381665,22.79999999999995,0.9738037141352851,1.0
115,201.37063501998273,14.463404267288821,13.700301851826467,22.99999999999995,6.688840259262074,1.0
116,204.11944881084491,14.638177348134404,13.787836056802272,23.19999999999995,13.344541683838804,1.0
117,206.88907911397837,14.810866722912841,13.908466974545242,23.39999999999995,17.882893928728684,1.0
118,209.685031342422,14.978727422313634,14.051055309873089,23.599999999999948,21.03405386699978,1.0
119,212.5109542618011,15.142145093926338,14.2081738839274,23.799999999999947,23.266628017758265,1.0
120,215.3692586742327,15.301602988099374,14.374870240402462,23.999999999999947,24.886453757088756,1.0
121,218.261529874384,15.457461765209745,14.547841761099608,24.199999999999946,26.095506209753438,1.0
122,221.18880262582024,15.610000602825137,14.72488575326304,24.399999999999945,27.028250442503825,1.0
123,224.1517444850797,15.759443505248903,14.904532839341755,24.599999999999945,27.77469107609414,1.0
124,227.15045067947358,15.905976261505678,15.082529104591682,24.799999999999944,27.921312678850445,1.0
125,230.1842824512678,16.04974211035942,15.255788613345727,24.999999999999943,27.60806136960696,1.0
126,233.25231791455008,16.190840338639468,15.42456601947533,25.199999999999942,27.307959559503402,1.0
127,236.35368414938785,16.329352265003305,15.589096328907848,25.39999999999994,27.020377653961877,1.0
128,239.4875534626044,16.465357635271097,15.74959680324133,25.59999999999994,26.74470928497606,1.0
129,242.65314000707076,16.598934284216448,15.906268641405873,25.79999999999994,26.480372463433547,1.0
130,245.84969671815634,16.73015789577018,16.059298469444823,25.99999999999994,26.2268101041828,1.0
131,249.07651253148651,16.85910184015345,16.208859663871543,26.19999999999994,25.98349008637766,1.0
132,252.3329098508948,16.985682419102407,16.355113530229,26.399999999999938,25.7499049734555,1.0
133,255.6182422394486,17.11012891755447,16.498210355291974,26.599999999999937,25.525571487884395,1.0
134,258.93189230984717,17.23251856731197,16.638290348687576,26.799999999999937,25.310029813406675,1.0
135,262.27326979346253,17.35291283758936,16.775484487474404,26.999999999999936,25.102842780261643,1.0
136,265.6418097697424,17.47137099911323,16.909915275338385,27.199999999999935,24.903594975591005,1.0
137,269.03697103992454,17.58795013300699,17.04169742647287,27.399999999999935,24.711891810977765,1.0
138,272.4582346308598,17.702705156967088,17.170938482861956,27.599999999999934,24.527358571153755,1.0
139,275.90510241640004,17.815688864534252,17.29773937253907,27.799999999999933,24.349639461792663,1.0
140,279.3770958451969,17.926951974114544,17.422194915414178,27.999999999999932,24.178396669577136,1.0
141,282.8737547649798,18.036543185089567,17.54439428242562,28.199999999999932,24.01330944408322,1.0
142,286.3946363345276,18.14450923890025,17.664421413053862,28.39999999999993,23.854073208210217,1.0
143,289.9393140153952,18.25089498343136,17.782355395615973,28.59999999999993,23.700398701725092,1.0
144,293.50737663637847,18.290777645513725,17.89827081422607,28.79999999999993,23.552011160834073,1.0
145,297.09842752438635,18.269809734647847,18.012238065845303,28.99999999999993,23.40864953543644,1.0
146,300.71208369601663,18.248726243938698,18.12432365044459,29.19999999999993,23.270065744758927,1.0
147,304.3479751047562,18.22752978890983,18.234590436955383,29.399999999999928,23.13602397135753,1.0
148,308.0057439391894,18.20622289935863,18.343097907380443,29.599999999999927,23.006299992945824,1.0
149,311.68504396804565,18.1848080238669,18.4499023811719,29.799999999999926,22.880680551125106,1.0
150,315.3855399283384,18.16328753401214,18.55505722175202,29.999999999999925,22.758962755820153,1.0
151,319.10690695319863,18.141663728303378,18.658613026849,30.199999999999925,22.64095352404419,0.8039275719777036
152,322.84883003629875,18.119938835863238,18.760617804141415,30.399999999999924,22.526469051493496,0.39606461765754614
153,326.5816172062041,18.098115019876033,18.567253894910003,30.599999999999923,0.0,-0.014880908385732597
154,330.3054051770159,18.076365533249902,18.670625813204307,30.799999999999923,22.627381333114553,0.5295976609074826
155,334.0497129741889,18.054689413939567,18.77245215850818,30.999999999999922,22.513297623510315,0.05816487209569736
156,337.78684954517666,18.032914894354793,18.59891355136182,31.19999999999992,0.0,-0.35672052387625025
157,341.5145855357623,18.0112031189301,18.67844635450904,31.39999999999992,18.370891538313476,0.1185828846649117
158,345.237734626513,17.9895668894605,18.553044553011933,31.59999999999992,0.0,-0.2768561539561466
159,348.95339961567515,17.967978130939155,18.60360533861836,31.79999999999992,13.085994195126597,0.04047540476527774
160,352.66468713408176,17.94645353170749,18.509269845453144,31.99999999999992,0.0,-0.250389543726425
161,356.358743343746,17.924974978043082,18.4312922511982,32.19999999999992,0.0,-0.03788795240081977
162,360.04840441441047,17.903616689212893,18.465318455451417,32.39999999999992,9.992936440872437,0.09706190333911073
163,363.73529210245033,17.882304235386645,18.403558424929585,32.59999999999992,0.0,-0.12632651680401003
164,367.4095018325388,17.861028171930364,18.338538875943684,32.799999999999926,0.0,-0.018261905758306617
165,371.07818999608935,17.839845536184168,18.348342759575843,32.99999999999993,5.59219551134963,0.0839978228100681
166,374.74295817332677,17.818714891956784,18.29933901280861,33.19999999999993,0.0,-0.05553772104555388
167,378.40334437244746,17.797627044559906,18.30452297838911,33.399999999999935,4.744165068591366,0.009877344416571976
168,382.0601967584662,17.776584868009746,18.264000881787744,33.59999999999994,0.0,-0.11130577689837443
169,385.70902693674725,17.755582985074035,18.224300901010658,33.79999999999994,0.0,-0.07410093854497193
170,389.35016433196506,17.734647055504833,18.187073051177126,33.99999999999994,0.0,-0.047339248143220124
